Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED_NAME
Belgium,Europe,3943831,31079,Madhya Pradesh,1041222,46,1030441,10735,Belgium,25267553,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Belize,America,57314,672,Maharashtra,7875448,724,7726903,147821,Belize,471049,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Benin,Africa,26605,163,Manipur,137169,38,135011,2120,Benin,3112919,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Bermuda,America,12864,130,Meghalaya,93786,7,92186,1593,Bermuda,131184,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Bhutan,Asia,49066,15,Mizoram,225901,683,224529,689,Bhutan,1888156,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bolivia (Plurinational State of),America,903584,21899,Nagaland,35487,12,34716,759,Bolivia (Plurinational State of),13399388,6,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bonaire,America,7663,28,Odisha,1287874,183,1278569,9122,Bonaire,33217,0,SII - Covishield
Bosnia and Herzegovina,Europe,376339,15744,Puducherry,165776,2,163812,1962,"Bonaire, Sint Eustatius and Saba",7391,2,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Botswana,Africa,305844,2687,Punjab,759223,55,741425,17743,Bosnia and Herzegovina,1924950,4,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V"
Brazil,America,30183929,661493,Rajasthan,1283141,83,1273506,9552,Botswana,2517260,6,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
British Virgin Islands,America,6162,62,Sikkim,39144,1,38691,452,Brazil,407798554,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Brunei Darussalam,Asia,139278,157,Tamil Nadu,3453163,228,3414910,38025,British Virgin Islands,40697,2,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S"
Bulgaria,Europe,1147812,36756,Telangana,791561,233,787217,4111,Brunei Darussalam,1084543,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Burkina Faso,Africa,20865,383,Tripura,100878,0,99956,922,Bulgaria,4363076,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Burundi,Africa,38722,15,Uttar Pradesh,2071186,307,2047380,23499,Burkina Faso,2440917,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
Cabo Verde,,55978,401,Uttarakhand,437303,424,429187,7692,Burundi,11083,1,Beijing CNBG - BBIBP-CorV
Cambodia,Asia,135998,3055,West Bengal,2017733,400,1996133,21200,Cabo Verde,728077,4,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Cameroon,Africa,119544,1927,,0,0,0,0,Cambodia,37123822,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Canada,America,3590820,38095,,0,0,0,0,Cameroon,1820196,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Cayman Islands,America,21121,25,,0,0,0,0,Canada,81549238,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Central African Republic,Africa,14354,113,,0,0,0,0,Cayman Islands,142198,1,Pfizer BioNTech - Comirnaty
Chad,Africa,7378,192,,0,0,0,0,Central African Republic,0,2,"Bharat - Covaxin,SII - Covishield"
Chile,America,3518800,57098,,0,0,0,0,Chad,2291152,1,Beijing CNBG - BBIBP-CorV
China,Asia,954346,14440,,0,0,0,0,Chile,51427093,4,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Colombia,America,6088619,139729,,0,0,0,0,China,329352619,8,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated"
Comoros,Africa,8100,160,,0,0,0,0,Colombia,81700313,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Congo,Africa,24028,385,,0,0,0,0,Comoros,637961,3,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield"
